"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AQUIFEX_00055",0,NA,NA,NA,NA,NA
"AQUIFEX_00056",1.24849413875094,2.00161294919127,1.9323773703592,1.03582922253908,0.300281821863507,0.998912159871704
"AQUIFEX_00057",183.752899561465,-0.171209704392141,0.166469871244001,-1.02847261857488,0.30372756446905,0.998912159871704
"AQUIFEX_00058",188.002447365956,-0.0406718473627095,0.163860703011641,-0.248209891787295,0.803972013252,0.998912159871704
"AQUIFEX_00059",99.1201795482777,0.125157090376795,0.231521185106722,0.540585909315827,0.58879303221029,0.998912159871704
"AQUIFEX_00060",0,NA,NA,NA,NA,NA
"AQUIFEX_00061",69.910700353941,0.00142495644608121,0.272860116836046,0.00522229654741892,0.995833229152516,0.998912159871704
"AQUIFEX_00062",191.742591584711,-0.239537681996188,0.165424364945412,-1.44801935358937,0.147611638040944,0.998912159871704
"AQUIFEX_00063",128.325481706848,0.0802177597427103,0.212111674211065,0.378186443726282,0.705292095286395,0.998912159871704
"AQUIFEX_00064",81.3871775832516,-0.157915208305771,0.256881606838269,-0.614739257704787,0.538726929426534,0.998912159871704
"AQUIFEX_00065",67.4110990386501,0.172739156657862,0.27850673593208,0.620233317085689,0.535104189564299,0.998912159871704
"AQUIFEX_00066",0,NA,NA,NA,NA,NA
"AQUIFEX_00067",0,NA,NA,NA,NA,NA
"AQUIFEX_00068",146.558884880932,0.0752439953839008,0.18859896514144,0.398962928176574,0.689920520268593,0.998912159871704
"AQUIFEX_00069",115.598867975943,0.0700657668359169,0.213445462347036,0.328260746635122,0.742714520863632,0.998912159871704
"AQUIFEX_00070",259.659877859255,-0.00961625534321403,0.142939021137385,-0.0672752287422721,0.946362596801854,0.998912159871704
"AQUIFEX_00071",0,NA,NA,NA,NA,NA
"AQUIFEX_00072",236.18511186933,0.141989153140666,0.161343892028083,0.880040461128526,0.378837391019694,0.998912159871704
"AQUIFEX_00073",114.847886999451,-0.0486932430384924,0.214243473676087,-0.22727993624726,0.820206073453588,0.998912159871704
"AQUIFEX_00074",192.509044427831,0.192578590230296,0.164945941080514,1.16752548725218,0.242998221694735,0.998912159871704
"AQUIFEX_00075",0,NA,NA,NA,NA,NA
"AQUIFEX_00076",152.795464550077,-0.168439733485623,0.186934426703586,-0.901063204118687,0.367554715551696,0.998912159871704
"AQUIFEX_00077",132.573447167287,0.0939585639903312,0.203893626893437,0.460821485310267,0.644926685757511,0.998912159871704
"AQUIFEX_00078",69.4112620442828,-0.102432813697888,0.277503312866722,-0.369122849884981,0.712036157984138,0.998912159871704
"AQUIFEX_00079",64.9179205741361,0.0014104423244505,0.288024382694563,0.00489695459549414,0.996092811149147,0.998912159871704
"AQUIFEX_00080",75.9049020106238,0.210622167274579,0.262360929596699,0.802795475676758,0.422092957622834,0.998912159871704
"AQUIFEX_00081",163.290243296105,0.133935757036728,0.180619069514773,0.741537188717349,0.458367791828751,0.998912159871704
"AQUIFEX_00082",125.092891069031,0.0186692610421093,0.209222556530425,0.0892315883703219,0.92889786161139,0.998912159871704
"AQUIFEX_00083",469.896179330594,0.0290443384060264,0.109232502980547,0.265894652356348,0.79032034369776,0.998912159871704
"AQUIFEX_00084",254.672051842888,0.0354036531607586,0.144374419469583,0.245221094504332,0.806285243886383,0.998912159871704
"AQUIFEX_00085",0,NA,NA,NA,NA,NA
"AQUIFEX_00086",157.058394141236,-0.0400291218867177,0.264568609494983,-0.151299589029577,0.879739393457204,0.998912159871704
"AQUIFEX_00087",254.65968576626,-0.157092107358063,0.143929822109151,-1.09144932617877,0.275075217902948,0.998912159871704
"AQUIFEX_00088",161.778428230963,-0.123205929416984,0.180855948202709,-0.681237916924309,0.495720959485705,0.998912159871704
"AQUIFEX_00089",221.958112470246,0.0177259530400468,0.152321901335498,0.116371663461608,0.907357992069583,0.998912159871704
"AQUIFEX_00090",0,NA,NA,NA,NA,NA
"AQUIFEX_00091",49.6818540759719,0.01609384812836,0.322314394544517,0.0499321420351183,0.960176463601209,0.998912159871704
"AQUIFEX_00092",0,NA,NA,NA,NA,NA
"AQUIFEX_00093",0,NA,NA,NA,NA,NA
"AQUIFEX_00094",0,NA,NA,NA,NA,NA
"AQUIFEX_00095",68.4201671744114,0.318507785824846,0.283877991897284,1.12198830101663,0.261867414155779,0.998912159871704
"AQUIFEX_00096",272.652490539586,0.0754426673775513,0.141648276714798,0.532605613899924,0.594306615201592,0.998912159871704
"AQUIFEX_00097",250.69085984607,0.162500847457166,0.153097655594053,1.06141956796547,0.2884992679883,0.998912159871704
"AQUIFEX_00098",209.222380696249,-0.0191518938985838,0.15659673405631,-0.122300723664499,0.902660858900568,0.998912159871704
"AQUIFEX_00099",0,NA,NA,NA,NA,NA
"AQUIFEX_00100",82.391557486849,0.194202742954429,0.253723964438679,0.765409540183046,0.444027713834932,0.998912159871704
"AQUIFEX_00101",0,NA,NA,NA,NA,NA
"AQUIFEX_00102",305.6007382139,0.0911144826934116,0.133650463816354,0.681737123027197,0.495405189181399,0.998912159871704
"AQUIFEX_00103",230.196532441716,-0.00476162659012799,0.15022749219616,-0.0316961064883548,0.974714399900476,0.998912159871704
"AQUIFEX_00104",140.316820897087,-0.0704437125980818,0.197425950143404,-0.356810807023665,0.721233445284284,0.998912159871704
"AQUIFEX_00105",201.242127341704,-0.0200503413400046,0.160349650750336,-0.125041378301615,0.900490792242099,0.998912159871704
"AQUIFEX_00106",235.935209961261,0.0412359444129552,0.151055909099675,0.272984649582596,0.784865015448579,0.998912159871704
"AQUIFEX_00107",70.4015584639209,-0.162303292653782,0.274816848301005,-0.590587126143054,0.554797092832534,0.998912159871704
"AQUIFEX_00108",0,NA,NA,NA,NA,NA
"AQUIFEX_00109",81.142505540422,-0.0784425698935562,0.255286667046264,-0.307272490181951,0.75863597313387,0.998912159871704
"AQUIFEX_00110",83.3966591780043,0.0878037250100801,0.260100515376155,0.337576128532845,0.735682633864466,0.998912159871704
"AQUIFEX_00111",185.019491416854,0.106587765944204,0.171225007065585,0.622501162481349,0.533612379623262,0.998912159871704
"AQUIFEX_00112",306.611023642409,0.189706171642636,0.135692100740534,1.39806348790624,0.162094002996948,0.998912159871704
"AQUIFEX_00113",89.3810316165665,0.082172237554821,0.247250155747162,0.332344533035806,0.739629116543514,0.998912159871704
"AQUIFEX_00114",86.896766151946,0.150677236206136,0.258364922020321,0.583195408370044,0.559761761832975,0.998912159871704
"AQUIFEX_00115",11.4837501080555,-0.123907067202963,0.634442548525955,-0.195300689543672,0.845157557287466,0.998912159871704
"AQUIFEX_00116",86.3857401115175,-0.0485554386720151,0.250239065284536,-0.194036205405438,0.846147532795204,0.998912159871704
"AQUIFEX_00117",183.757938855916,0.0642528386555722,0.166636064003437,0.385587832020846,0.699801946290487,0.998912159871704
"AQUIFEX_00118",214.212104645602,-0.0320995272326188,0.156699655630079,-0.204847465066523,0.837691301505153,0.998912159871704
"AQUIFEX_00119",222.208823924471,0.0793346236111714,0.15343127280096,0.51706944850864,0.605107679771663,0.998912159871704
"AQUIFEX_00120",180.502325612625,-0.226431735422695,0.168512607587316,-1.34370797927015,0.179042836060012,0.998912159871704
"AQUIFEX_00121",75.9019978873361,-0.0365235132088327,0.264053995721928,-0.138318350794037,0.889988823072483,0.998912159871704
"AQUIFEX_00122",0,NA,NA,NA,NA,NA
"AQUIFEX_00123",79.1417080785471,-0.116840876599009,0.261529849973686,-0.446759238422554,0.655048905066063,0.998912159871704
"AQUIFEX_00124",182.017160950861,0.00539243250231265,0.168672099012544,0.0319699140159014,0.974496043764892,0.998912159871704
"AQUIFEX_00125",176.264502689653,0.00153332402652855,0.173415556240382,0.00884190588071073,0.992945271732114,0.998912159871704
"AQUIFEX_00126",132.317615258763,-0.0964582765523149,0.203973277062395,-0.472896635978489,0.636286925088728,0.998912159871704
"AQUIFEX_00127",159.542139541121,0.0150256593985427,0.181093768025601,0.0829717088686261,0.933874035079361,0.998912159871704
"AQUIFEX_00128",88.3864109091678,0.0503677026332805,0.24350124770908,0.206847821549797,0.83612870749412,0.998912159871704
"AQUIFEX_00129",0,NA,NA,NA,NA,NA
"AQUIFEX_00130",170.536149410026,0.00559985414054532,0.185465432391454,0.0301935194517862,0.9759127169051,0.998912159871704
"AQUIFEX_00131",169.033838538336,-0.122288395374165,0.182014890950726,-0.671859289838379,0.501673279368011,0.998912159871704
"AQUIFEX_00132",226.709623877695,0.0141491207474169,0.152099189478293,0.0930256156916351,0.925883211077867,0.998912159871704
"AQUIFEX_00133",0,NA,NA,NA,NA,NA
"AQUIFEX_00134",76.3942466636796,-0.0927450245058029,0.264546896104562,-0.350580656478939,0.725902970473921,0.998912159871704
"AQUIFEX_00135",96.3681994290898,-0.178107008237543,0.234088149075581,-0.760854442828017,0.446744011965099,0.998912159871704
"AQUIFEX_00136",84.8885702257842,0.103400248543186,0.248127758498965,0.416721809638311,0.676881899934363,0.998912159871704
"AQUIFEX_00137",116.59857860285,0.0076440957625533,0.212444208329772,0.0359816623039567,0.971296980846828,0.998912159871704
"AQUIFEX_00138",0,NA,NA,NA,NA,NA
"AQUIFEX_00139",91.1238364025275,-0.0853969523291246,0.244583991567443,-0.349151846700387,0.726975314735591,0.998912159871704
"AQUIFEX_00140",264.164748134174,0.0942000179587505,0.145955952405392,0.645400317056687,0.518667797998566,0.998912159871704
"AQUIFEX_00141",140.81481463695,-0.0292189352770916,0.199027061983408,-0.146808855971192,0.883282894374817,0.998912159871704
"AQUIFEX_00142",151.048673824533,-0.079600982135862,0.185291506466245,-0.429598655944671,0.667487614959173,0.998912159871704
"AQUIFEX_00143",113.613903060833,0.109163328793668,0.228563934028667,0.47760522349067,0.632931212375857,0.998912159871704
"AQUIFEX_00144",96.6201210240242,-0.215145703580613,0.233039010045239,-0.923217548593464,0.355893845525298,0.998912159871704
"AQUIFEX_00145",72.4100010639954,0.240786521743639,0.281098287056308,0.856591921157477,0.391670452107491,0.998912159871704
"AQUIFEX_00146",271.640871654412,-0.0834129305770472,0.142418213411099,-0.585690050304665,0.55808382153118,0.998912159871704
"AQUIFEX_00147",0,NA,NA,NA,NA,NA
"AQUIFEX_00148",131.329600680776,0.056337637792697,0.202486311539529,0.27822936456472,0.780836294767838,0.998912159871704
